"R37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R50",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"R51",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R56",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R58",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R63",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R65",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R67",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R77",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R79",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R80",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R81",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R82",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R83",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R84",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
